,positive,negative,neutral,compound,sentiment
"15 million lessgooooo we,hunnies log in time to fly higher with fiftyfifty....",0.0,0.0,1.0,50.0,Neutral
The way this is on repeat and I am making headcanons for my ships with this song.,0.0,0.0,1.0,50.0,Neutral
I love it when people didn't know it's a kpop song and bully kpop stans for listening to kpop lol,0.278,0.127,0.595,79.295,Positive
"i can't stop listening to this song, maybe i already have last song symdrome",0.146,0.0,0.854,61.175000000000004,Positive
i found my gf after listen to this song damnn,0.0,0.0,1.0,50.0,Neutral
esta es la cancion mas  hermosa que escuchado este año,0.0,0.0,1.0,50.0,Neutral
I was wondering why and who is Twin among the members. It's so cute to find out that they call it like that because only 2 of the members sang this version. It is soo cute,0.248,0.0,0.752,94.08000000000001,Positive
I love English version,0.677,0.0,0.323,81.845,Positive
"1:09 her voice is so smooth....
I got soothed",0.201,0.0,0.799,59.675,Positive
GASP.,0.0,0.0,1.0,50.0,Neutral
"I have a feeling this song will fall  - if not already - as a timeless song category.

It sounds dreamy and the music beat suits for every generation - at least that's what I think",0.051,0.0,0.949,56.400000000000006,Positive
"me while driving
my car speaker : this song",0.0,0.0,1.0,50.0,Neutral
John Cena,0.0,0.0,1.0,50.0,Neutral
bài này dê  thương cóa,0.0,0.0,1.0,50.0,Neutral
Esta canción es adictiva,0.0,0.0,1.0,50.0,Neutral
The worst part of this song is when it ends.,0.0,0.313,0.687,18.755,Negative
Nanas was really at the end of the video!!!😳,0.0,0.0,1.0,50.0,Neutral
All the bois listen to this 🎶,0.0,0.0,1.0,50.0,Neutral
obsessed.,0.0,1.0,0.0,41.105000000000004,Negative
I’m gonna dance to this song at the talent show in my school wish me luck!💘,0.293,0.0,0.707,84.98,Positive
"I really like this song 💞👥
She is so beautiful 🦋✨",0.493,0.0,0.507,91.545,Positive
The English version is even better! ❤❤❤,0.347,0.0,0.653,74.63,Positive
I love both version so much ❤❤❤❤,0.457,0.0,0.543,81.845,Positive
ชายแท้ต้องฟัง,0.0,0.0,1.0,50.0,Neutral
And now I'm left here feeling stupid...,0.2,0.0,0.8,56.400000000000006,Positive
Literally best English kpop group right now,0.412,0.0,0.588,81.845,Positive
A FOOL FOR LOVEEEEE,0.0,0.592,0.408,27.98,Negative
I love this song,0.677,0.0,0.323,81.845,Positive
I heard this song many times and never knew who sang this song. Btw I thought it was an English song as I heard its sped-up version. Oh... I am addicted to this song 😍😍😍,0.0,0.0,1.0,50.0,Neutral
can't wait for their first full album.,0.0,0.0,1.0,50.0,Neutral
I’m currently in Korea on vacation and this song is everywhere. It’s such a vibe 🥰,0.0,0.0,1.0,50.0,Neutral
"Hahahhahaha ridiculous! 😅 K-pop? My A**-pop!
Ok and lady gaga is Italian pop? Beyoncé is African pop??? 

It's bloody standard/American pop sand by Korean people. 

Waw such originality, I can't believe it!",0.06,0.199,0.741,13.924999999999999,Positive
let's try to listen https://youtu.be/Pra67C6Y22s,0.0,0.0,1.0,50.0,Neutral
"the melody in the song reminds me of a song but I can't say what song it is, this really bothers me a bit.

I still feel that Cupid's song from Fifty Fifty is a song from the past, whether it's from the 40s, 50s, 60s, 70s, 80s, 90s or 2000s which were rearranged.

very nostalgic to my head.",0.0,0.047,0.953,30.510000000000005,Negative
this tbh has to be one of the best english version of a k-pop song,0.244,0.0,0.756,81.845,Positive
❤️ この曲のために,0.0,0.0,1.0,50.0,Neutral
❤ from an African. This song is Dope,0.0,0.0,1.0,50.0,Neutral
Literally played this in the car nobody noticed it’s kpop they loved it,0.364,0.0,0.636,87.14999999999999,Positive
I didn't know that it's a kpop song 😮 i thought the english version is the original both versions sound so good 😩,0.274,0.0,0.726,86.1,Positive
This song is so cute.,0.491,0.0,0.509,79.745,Positive
Can’t wait for Nanaz,0.0,0.0,1.0,50.0,Neutral
"my name is muhammad. i am a boy living in afghanistan. i ran away from home because my father (peace be upon him) found me listening to this song and was arranging to have me stoned for engaging in gay (haram) activities. they also considered having me BTS (Burned at The Stake). but just like Twice, i believe i have a second chance. i run away from afghanistan and go to england where everyone is haram and gay. and i can live happly ever after. bless you. alhamdulilah.",0.128,0.0,0.872,93.965,Positive
They bring 2nd kpop vibes to this year,0.0,0.0,1.0,50.0,Neutral
解る方もいると思うのですが、日本の90年代前半、特に Pizzicato Five の曲を思い出します… すごく良い曲ですね,0.0,0.0,1.0,50.0,Neutral
"I GAVE The SECOND CHANCE OF CUPID ❤😊🙆




I love this song❤️❤️❤️",0.464,0.0,0.536,89.325,Positive
이 시발 노래 너무 멋져😊,0.0,0.0,1.0,50.0,Neutral
"I like the ""Korean"" version more. (´ω｀)",0.333,0.0,0.667,68.06,Positive
Banger!❤❤,0.0,0.0,1.0,50.0,Neutral
divas,0.0,0.0,1.0,50.0,Neutral
mto boh46ynnyhttyn,0.0,0.0,1.0,50.0,Neutral
"I swear the girl that sings from ""I'm feeling lonely..."" her voice is all over tiktoks and made me have to search this song. She has very special voice and the way she pronounces English is really unique, its so addictive. This group will get bigger for sure. This song is the best gg song this year for me",0.199,0.018,0.783,94.995,Positive
한국인이지만 요즘 K-pop 들으면서 이만큼 실력 좋은 여자 아이돌은 찾기 힘들었습니다. 이 그룹의 회사 사장님도 본인의 차를 팔면서 전폭적으로 지원해준 그룹일만큼 확실하게 그 결실을 맺네요 항상 응원합니다.👍🏻,0.0,0.0,1.0,50.0,Neutral
Bro same,0.0,0.0,1.0,50.0,Neutral
Better than NewJeans,0.592,0.0,0.408,72.02,Positive
A+,0.0,0.0,1.0,50.0,Neutral
Best best!!!,1.0,0.0,0.0,94.135,Positive
tried it at 1.25x speed and is more much beautiful....,0.0,0.0,1.0,50.0,Neutral
Is it just me that thinks this has strong ‘The Strokes’ vibes?,0.231,0.0,0.769,75.53,Positive
up,0.0,0.0,1.0,50.0,Neutral
"歌声が落ち着いててだいすきすぎる
歌詞が今の私にめちゃめちゃ刺さります、共感してます",0.0,0.0,1.0,50.0,Neutral
This is what happened to me,0.0,0.0,1.0,50.0,Neutral
Lss,0.0,0.0,1.0,50.0,Neutral
"eu amo essa versão, mas a outra versão conseguiu me ganhar por causa do rap",0.0,0.0,1.0,50.0,Neutral
너무 좋네요 피프티 피프티 대박나세요!!,0.0,0.0,1.0,50.0,Neutral
🇹🇭🇹🇭💐💖,0.0,0.0,1.0,50.0,Neutral
"When I first heard it, I thought the song was made by an american artist/group. It really feels natural and it is just amazing. This just shows that this group is going places.",0.185,0.0,0.815,88.175,Positive
my bf won’t stop listening to this song all day 😂 can’t blame him though this is a bop. We will never get tired of this,0.086,0.164,0.75,35.27,Positive
"I've never felt so called out yet so comforted by a song at the same time😂 And please tell me I'm not the only one😭
Fighting Fifty Fifty❤🎉",0.183,0.077,0.74,76.465,Positive
Best song i have see,0.583,0.0,0.417,81.845,Positive
큐피드 피아노 커버했어요 놀러오세요❤,0.0,0.0,1.0,50.0,Neutral
This song will stuck in ur head forever,0.0,0.222,0.778,37.5,Negative
This song is basically shitting on cupid in the cutest way. 😂,0.244,0.179,0.577,62.5,Positive
Song Of The Year💕💓,0.0,0.0,1.0,50.0,Neutral
"여기달린 댓글들을 보고있으면 눈살을 찌푸리게 하는 댓글들이 종종 보인다. 좋은노래에, 한국음악은 싫지만 영어버젼으로된 팝송같은 음악이라 좋다하는 미국인들! 한국에서 만들어진 노래에 대한 예의가 아예 없다.",0.0,0.0,1.0,50.0,Neutral
"Saya suka wow guys you  did it 
Amazing",0.559,0.0,0.441,91.125,Positive
"Ngl when i first heard this from a yt short, i thought the lyrics was ""IM SICK AND TIRED PLAYING CUPID AND NOW IM LEFT HERE FEELING STUPID"" AHDVSJSFOHDSBE I CANT HAHAHAHAHAHAHA",0.12,0.298,0.581,7.924999999999999,Positive
i love sio's voice,0.677,0.0,0.323,81.845,Positive
i love fiftyfifty,0.808,0.0,0.192,81.845,Positive
"Randomly stumbled on the song, love it",0.412,0.0,0.588,81.845,Positive
so natural voice ❤  i would love to sing with u guys but im a bathroom singer😂lolz,0.29,0.0,0.71,77.08999999999999,Positive
"Oh gawd, I found this song through tiktok and now I can't get enough of it. 😭😭",0.0,0.0,1.0,50.0,Neutral
